iter,lowerBound,dualValue
1,0,1.37506e+06
2,0,1.37506e+06
3,0,1.37506e+06
4,0,1.37506e+06
5,0,1.37506e+06
6,0,1.37506e+06
7,0,1.37506e+06
8,0,1.37506e+06
9,0,1.37506e+06
10,0,1.37506e+06
11,0,1.37506e+06
12,0,1.37506e+06
13,0,1.37506e+06
14,0,1.37506e+06
15,0,1.37506e+06
16,0,1.37506e+06
17,0,1.37506e+06
18,0,1.14355e+06
19,0,1.08444e+06
20,0,979521
21,0,915429
22,0,878582
23,0,845033
24,0,827343
25,0,808010
26,0,791125
27,0,775710
28,0,770694
29,0,764938
30,0,756506
31,0,749629
32,0,743300
33,0,739113
34,0,732991
35,0,728605
36,0,723666
37,0,720391
38,0,715994
39,0,713510
40,0,710509
41,0,708238
42,0,706992
43,0,705778
44,0,705255
45,0,704833
46,0,704236
47,0,703973
48,0,703843
49,0,703768
50,0,703701
51,0,703694
52,0,703672
53,0,703650
54,0,703646
55,0,703611
56,0,703562
57,0,703547
58,0,703420
59,0,703412
60,0,703328
61,0,703318
62,0,703312
63,385118,703310
64,353728,700545
65,391979,698036
66,443973,695758
67,454263,693490
68,485751,691709
69,499414,689897
70,525655,688428
71,542278,687066
72,531952,685653
73,561395,684617
74,556381,683314
75,569960,682157
76,573947,681018
77,587125,680040
78,586688,679201
79,594964,678385
80,596732,677657
81,595239,677138
82,602096,676386
83,608209,675753
84,612302,675172
85,617159,674718
86,620668,674259
87,623606,673938
88,625596,673619
89,630689,673284
90,629756,673050
91,631494,672712
92,638376,672364
93,640437,672087
94,644629,671842
95,645171,671569
96,644647,671317
97,646668,671091
98,646009,670891
99,648132,670661
100,650488,670468
101,650264,670237
102,652806,670110
103,654401,669966
104,656988,669854
105,655005,669708
106,655404,669554
107,657366,669463
108,656708,669327
109,660454,669253
110,661184,669195
111,661673,669108
112,662786,669038
113,663055,669003
114,663054,668950
115,661973,668804
116,662606,668724
117,664105,668685
118,664032,668672
119,664643,668638
120,664536,668610
121,664848,668585
122,665654,668570
123,665857,668558
124,665556,668531
125,665821,668519
126,665802,668453
127,666259,668430
128,666336,668414
129,666845,668400
130,666948,668388
131,666785,668368
132,667059,668337
133,667190,668331
134,666938,668329
135,666804,668324
136,667505,668322
137,667527,668319
138,667769,668315
139,667528,668313
140,667761,668311
141,667423,668270
142,667638,668262
143,667616,668261
144,667628,668234
145,667858,668225
146,668021,668222
147,668111,668220
148,668050,668219
149,668124,668218
150,668163,668218
151,668161,668218
152,668161,668218
153,668162,668218
154,668164,668218
155,668164,668218
156,668183,668218
157,668183,668218
158,668181,668218
159,668185,668218
160,668185,668218
161,668185,668218
162,668185,668218
163,668185,668218
164,668185,668218
165,668185,668218
166,668185,668218
167,668185,668218
168,668185,668218
169,668185,668218
170,668185,668218
171,668185,668218
172,668185,668218
173,668197,668218
174,668213,668217
175,668216,668217
176,668217,668217
